00180080,00180081,00180091,00181314,0008103E
6500,100.3,1,90,ZERO-B
22,5,1,20,Sag SPGR
6500,100.3,1,90,FA (color)
6500,100.3,1,90,FA
6500,100.3,1,90,EXP
6500,100.3,1,90,DWI
150,1.372,1,70,Calibration Scan
6733.34,111.648,12,90,AX T2
550,20,1,90,Ax T1 Post Whole Brain
683.336,22,1,90,Ax T1
10002,124.908,1,90,AX FLAIR
6500,100.3,1,90,Ax DIFF Pedi
6500,100.3,1,90,ADC
6500,117.6,1,90,ZERO-B
12000,33,1,90,SUSCEPTIBILITY EPI
383.336,10,1,90,Sag T1
6500,117.6,1,90,FA (color)
6500,117.6,1,90,FA
6500,117.6,1,90,EXP
6500,117.6,1,90,DWI
150,1.388,1,70,Calibration Scan
6433.34,112.384,12,90,AX T2
9002,131.08,1,90,Ax FLAIR T2
6500,117.6,1,90,Ax DIFF Pedi
6500,117.6,1,90,ADC
6500,106.4,1,90,ZERO-B
12000,30.5,1,90,SUSCEPTIBILITY EPI
22,6,1,20,Sag SPGR
6500,106.4,1,90,FA (color)
6500,106.4,1,90,FA
6500,106.4,1,90,EXP
6500,106.4,1,90,DWI
22,6,1,20,COR REFORMATT SPGR
150,1.372,1,70,Calibration Scan
22,6,1,20,AXIAL REFORMATT SPGR
10766.7,98.136,12,90,AX T2
9002,136.896,1,90,Ax FLAIR T2
6500,106.4,1,90,Ax DIFF Pedi
6500,106.4,1,90,ADC
25,3.3,1,20,3DTOF (CHECK RAMP PULSE)
,,,,3D R ANT
,,,,3D POST VERT
,,,,3D POST HORIZ
,,,,3D L ANT
,,,,3D COW
,,,,3D ANT CIRC
6500,99.9,1,90,ZERO-B
12000,28.6,1,90,SUSCEPTIBILITY EPI
22,6,1,20,Sag SPGR
6.768,2.5,1,65,SAG REFORMATT FIESTA
22,6,1,20,REFORMAT COR SPGR
22,6,1,20,REFORMAT AXIALSPGR
6500,99.9,1,90,FA (color)
6500,99.9,1,90,FA
6500,99.9,1,90,EXP
6500,99.9,1,90,DWI
6.768,2.5,1,65,COR REFORMATT FIESTA
150,1.372,1,70,Calibration Scan
7083.34,111.648,12,90,AX T2
10002,124.908,1,90,AX FLAIR
6500,99.9,1,90,Ax DIFF Pedi
6.768,2.5,1,65,Ax 3D FIESTA Hi Res
6500,99.9,1,90,ADC
6500,109.4,1,90,ZERO-B
12000,35.8,1,90,SUSCEPTIBILITY EPI
22,6,1,20,Sag SPGR
6500,109.4,1,90,FA (color)
6500,109.4,1,90,FA
6500,109.4,1,90,EXP
6500,109.4,1,90,DWI
150,1.388,1,70,Calibration Scan
6433.34,112.672,12,90,AX T2
10002,131.376,1,90,AX FLAIR
6500,109.4,1,90,Ax DIFF Pedi
6500,109.4,1,90,ADC
6500,105.1,1,90,ZERO-B
12000,34.1,1,90,SUSCEPTIBILITY EPI
,,,,Screen Save
21,6,1,20,Sag SPGR
6500,105.1,1,90,FA (color)
6500,105.1,1,90,FA
6500,105.1,1,90,EXP
6500,105.1,1,90,DWI
21,6,1,20,COR SPGR NO GADO REFORMAT
150,1.388,1,70,Calibration Scan
4650,112.608,12,90,AX T2
21,6,1,20,AX SPGR NO GADO REFORMAT
10002,127.008,1,90,AX FLAIR
6500,105.1,1,90,Ax DIFF Pedi
6500,105.1,1,90,ADC
6500,114.7,1,90,ZERO-B
12000,37.4,1,90,SUSCEPTIBILITY EPI
21,6,1,20,Sag SPGR
6500,114.7,1,90,FA (color)
6500,114.7,1,90,FA
6500,114.7,1,90,EXP
6500,114.7,1,90,DWI
21,6,1,20,COR SPGR POST RFMT
150,1.388,1,70,Calibration Scan
21,6,1,20,AXIAL SPGR POST RFMT
5733.34,112.64,12,90,AX T2
10002,120.12,1,90,AX FLAIR
6500,114.7,1,90,Ax DIFF Pedi
6500,114.7,1,90,ADC
6500,109.2,1,90,ZERO-B
12000,34.9,1,90,SUSCEPTIBILITY EPI
12000,34.9,1,90,SUSCEPTIBILITY EPI
22,6,1,20,Sag SPGR
6500,109.2,1,90,FA (color)
6500,109.2,1,90,FA
6500,109.2,1,90,EXP
6500,109.2,1,90,DWI
22,6,1,20,COR REFORMATT SPGR-SAG
150,1.388,1,70,Calibration Scan
22,6,1,20,AXIAL REFORMATT SPGR-SAG
7150,112.608,12,90,AX T2
10002,127.008,1,90,AX FLAIR
6500,109.2,1,90,Ax DIFF Pedi
6500,109.2,1,90,ADC
6500,106.2,1,90,ZERO-B
12000,28.7,1,90,SUSCEPTIBILITY EPI
30,4,1,35,SAG SPGR
6500,106.2,1,90,FA (color)
6500,106.2,1,90,FA
6500,106.2,1,90,EXP
6500,106.2,1,90,DWI
30,4,1,35,COR SPGR REFORMAT
150,1.372,1,70,Calibration Scan
30,4,1,35,AXIAL SPGR REFORMAT
10350,98.064,12,90,AX T2
10002,129.536,1,90,AX FLAIR
6500,106.2,1,90,ADC
