SamplesperPixel,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,RepetitionTime,EchoTime,EchoTrainLength,InversionTime,AngioFlag,NumberofAverages,ImagingFrequency,MagneticFieldstrength,SpacingBetweenSlices,PercentSampling,PercentPhaseFieldofView,PixelBandwidth,ReconstructionDiameter,PhaseEncodingDirection,FlipAngle,SAR,VariableFlipAngleFlag,SeriesDescription,SHStationName
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,ZERO-B,MR1WA
1,GR,NULL,NULL,3D,22,5,1,0,N,1,63.823735,1.5,1.2,100,100,130.234,220,ROW,20,0.0316473,N,Sag SPGR,MR1WA
3,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,DWI,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.372,1,0,N,1,63.823732,1.5,8,100,100,976.562,300,ROW,70,0.855445,N,Calibration Scan,MR1WA
1,SE,SK,NULL,2D,6733.34,111.648,12,0,N,1,63.823735,1.5,4.5,100,75,27.1094,200,ROW,90,0.6462,N,AX T2,MR1WA
1,RM,NONE,NULL,2D,550,20,1,0,N,1,63.823735,1.5,4.5,100,75,122.109,200,ROW,90,0.510977,N,Ax T1 Post Whole Brain,MR1WA
1,SE,NONE,FILTERED_GEMS,2D,683.336,22,1,0,N,1,63.823735,1.5,4.5,100,75,62.9688,200,ROW,90,0.600664,N,Ax T1,MR1WA
1,IR,SK,NULL,2D,10002,124.908,1,2200,N,0.5,63.823735,1.5,4.5,64.5833,100,162.734,200,ROW,90,0.5605,N,AX FLAIR,MR1WA
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,100.3,1,0,N,1,63.823735,1.5,4.5,100,100,1953.12,220,COL,90,0.204521,N,ADC,MR1WA
1,NULL,NONE,NULL,2D,6500,117.6,1,0,N,1,63.823748,1.5,4.5,100,100,1953.12,220,COL,90,0.211842,N,ZERO-B,MR1WA
1,NULL,SS,NULL,2D,12000,33,1,0,N,2,63.823748,1.5,4,100,100,1304.69,220,COL,90,0.00232723,N,SUSCEPTIBILITY EPI,MR1WA
1,SE,NONE,FILTERED_GEMS,2D,383.336,10,1,0,N,1,63.823759,1.5,3,100,100,122.07,240,ROW,90,1.30725,N,Sag T1,MR1WA
3,NULL,NONE,NULL,2D,6500,117.6,1,0,N,1,63.823748,1.5,4.5,100,100,1953.12,220,COL,90,0.211842,N,FA (color),MR1WA
1,NULL,NONE,NULL,2D,6500,117.6,1,0,N,1,63.823748,1.5,4.5,100,100,1953.12,220,COL,90,0.211842,N,FA,MR1WA
1,NULL,NONE,NULL,2D,6500,117.6,1,0,N,1,63.823748,1.5,4.5,100,100,1953.12,220,COL,90,0.211842,N,EXP,MR1WA
1,NULL,NONE,NULL,2D,6500,117.6,1,0,N,1,63.823748,1.5,4.5,100,100,1953.12,220,COL,90,0.211842,N,DWI,MR1WA
1,GR,NULL,FAST_GEMS,2D,150,1.388,1,0,N,1,63.823748,1.5,8,100,100,976.562,300,ROW,70,0.868109,N,Calibration Scan,MR1WA
